codigo,nome,unidade,material,maoDeObra,total
02.101,"Canteiro de obras",m,0,0,0
02.101.000005.SER,"Tapume de proteção em chapa de madeira compensada resinada # 6 mm",m²,51.29,11.55,62.84
02.101.000006.SER,"Portão para tapume em chapa de madeira compensada resinada #10 mm, 2 folhas, largura 3 m e altura 2 m",un,587.52,173.27,760.80
02.101.000010.SER,"Tapume de tábuas sobrepostas",m²,46.83,23.67,70.50
02.101.000015.SER,"Tapume de tábua com matajunta de ripas",m²,54.99,28.88,83.87
02.101.000020.SER,"Tapume de proteção com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira",m²,33.16,11.55,44.71
02.101.000021.SER,"Tapume de proteção com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira com 2 reaproveitamentos",m²,16.83,11.55,28.38
02.101.000022.SER,"Tapume de proteção com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira, inclusive pintura esmalte face externa",m²,39.50,14.72,54.22
02.101.000023.SER,"Tapume de proteção com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira com 2 reaproveitamentos, inclusive pintura esmalte face externa",m²,29.52,17.89,47.41
02.101.000024.SER,"Tapume de proteção com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira, inclusive pintura esmalte face externa e interna",m²,45.85,17.89,63.74
02.101.000025.SER,"Tapume de proteção com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira com 2 reaproveitamentos, inclusive pintura esmalte face externa e interna",m²,29.52,17.89,47.41
02.101.000026.SER,"Portão para tapume com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira, 2 folhas, largura 3 m altura 2 m",un,448.42,115.52,563.94
02.101.000027.SER,"Portão para tapume com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira, 2 folhas, largura 3 m altura 2 m, inclusive pintura pintura esmalte face externa",un,486.50,134.54,621.03
02.101.000028.SER,"Portão para tapume com telha trapezoidal em aço galvanizado # 0,43 mm em estrutura de madeira, 2 folhas, largura 3 m altura 2 m, inclusive pintura pintura esmalte face externa e interna",un,524.57,153.56,678.13
02.101.000029.SER,"Tapume de proteção guarda corpo com tela de polipropileno",m²,25.50,6.71,32.21
